0,PRP$
1,DTPOS
2,NN^NNS
3,WPHVS
4,WDT
5,JJ
6,WP
7,GW^NNPS
8,^NNPS
9,PRPVB
10,^IN^IN
11,RP
12,WDTBES
13,DTCC
14,^VBG
15,^NNS^POS
16,FW
17,VBPBES
18,BESINBES
19,^NN
20,NNPHVS
21,PRP
22,RB
23,MDRB
24,^VBP^RP
25,GW^EX
26,NNS
27,^NNBES
28,NNP
29,GW
30,WRB
31,DTNNP
32,CCIN
33,-NONE-
34,WRBBES
35,WPMD
36,EXMD
37,^WRB
38,VBBES
39,WPVBD
40,SYM
41,VBPHVS
42,WDTWDTDTBES
43,^IN
44,^IN^NN
45,NNHVS
46,GW^PRP$
47,NNRB
48,WPVBP
49,GWVBP
50,^GW
51,PRPPRPMD
52,PRPRB
53,DTMD
54,WRBHVS
55,^RB
56,WDTMD
57,DT-DFL-
58,EXVBP
59,^TO
60,RBHVS
61,JJBES
62,NNNNPS
63,PRPPRP$
64,WPVBZ
65,PRP^VBP
66,VBPVBPRB
67,^DT^NN
68,WPBES
69,DTDTWDT
70,UHPOS
71,NNPNNPS
72,WRBMD
73,NNSPOS
74,^PRP^VBP
75,^EXVBP
76,^VB^RP
77,EX
78,^JJS
79,INHVS
80,VBDRB
81,^VB
82,VBPRB
83,VBNPRP
84,WRBVBD
85,EXBES
86,NNPOS
87,VBPRP
88,^WP
89,UH
90,VBN|VBD
91,NNBES
92,LAUGHTER
93,^PRP$
94,PRPPRPVBP
95,VBPPRP
96,^VBP^RB
97,VBG
98,^EX
99,VBD
100,^RP
101,VBN
102,NNVBP
103,DTDTNN
104,VBP
105,INMD
106,RBPOS
107,VBZ
108,^PDT
109,WPPOS
110,NN
111,MDVBP
112,PRP$POS
113,CDNNS
114,FWNNS
115,VBGTO
116,^JJ
117,PRPBES
118,NNPPOS
119,NNPNNS
120,^NNS
121,^NNP
122,RBBES
123,NNPNNP
124,MD
125,CC
126,^CD
127,PDT
128,PRPMD
129,^DT
130,CD
131,XX
132,NNMD
133,DTHVS
134,DTDTVB
135,WP$
136,DTUH
137,PRPPOS
138,NNPBES
139,DTDTDTWP
140,^UH
141,NNPRP
142,TO|IN
143,JJS
144,JJR
145,^NN^NNS
146,JJ|RB
147,VBP|VBD
148,PRPDT
149,INBES
150,GWPRP$
151,EXHVS
152,PRPVBZ
153,DTBES
154,^NNP^NNP
155,DTIN
156,^CC
157,PRPVBP
158,DTNNS
159,PRPVBN
160,VBZRB
161,BES
162,PRPVBD
163,DT
164,GW^VBP
165,CN
166,^PRP
167,BESDTDTBESDT
168,^VBP
169,CDBES
170,^VBZ
171,POS
172,NNNNS
173,FWBES
174,TO
175,^VBD
176,LS
177,JJPOS
178,^VBN
179,DTDT
180,RBNN
181,^CD^NNS
182,VB
183,PRP$BES
184,WDTHVS
185,DTWP
186,RBS
187,RBR
188,^CD^NN
189,CCCC
190,GWNNS
191,IN
192,NNPS
193,NNPSPOS
194,CDPOS
195,SYMNNS
196,PRPHVS
197,NNSBES
198,VBRB
199,MDPRPMD
200,NNS^POS
