Speaker: 4519A
(1:0:1)	2.557375	2.722875	your	PRP$	<f/><tc/><diact type="fo_o_fw_"_by_bc"/>
(1:0:2)	2.722875	3.011125	turn	NN	<f/><ct/><diact type="fo_o_fw_"_by_bc"/>
(3:7:1)	25.596	26.178875	well	UH	<e/><tc/><diact type="sd"/>
(3:7:3)	26.178875	26.59325	i	PRP	<f/><cc/><diact type="sd"/>
(3:7:4)	27.256125	27.460125	have	VBP	<f/><cc/><diact type="sd"/>
(3:7:5)	27.50525	27.591625	to	TO	<f/><cc/><diact type="sd"/>
(3:7:6)	27.591625	27.771625	say	VB	<f/><cc/><diact type="sd"/>
(3:7:7)	27.771625	27.941625	i	PRP	<f/><cc/><diact type="sd"/>
(3:7:8)	27.941625	28.201625	really	RB	<f/><cc/><diact type="sd"/>
(3:7:9)	28.201625	28.431625	dont	VBPRB	<f/><cc/><diact type="sd"/>
(3:7:10)	28.431625	28.571625	have	VB	<f/><cc/><diact type="sd"/>
(3:7:11)	28.571625	28.661625	a	DT	<f/><cc/><diact type="sd"/>
(3:7:12)	28.661625	29.070625	budget	NN	<f/><ct/><diact type="sd"/>
(3:8:0)	29.8685	30.118625	both	DT	<f/><tc/><diact type="sd"/>
(3:8:1)	30.118625	30.238625	my	PRP$	<f/><cc/><diact type="sd"/>
(3:8:2)	30.238625	30.548625	wife	NN	<f/><cc/><diact type="sd"/>
(3:8:3)	30.548625	30.678625	and	CC	<f/><cc/><diact type="sd"/>
(3:8:4)	30.678625	31.059375	i	PRP	<f/><cc/><diact type="sd"/>
(3:8:6)	31.27775	31.88175	uh	UH	<e/><cc/><diact type="sd"/>
(3:8:8)	32.8355	33.095875	grew	VBD	<f/><cc/><diact type="sd"/>
(3:8:9)	33.095875	33.3645	up	RP	<f/><cc/><diact type="sd"/>
(3:8:10)	33.3645	33.72375	in	IN	<f/><cc/><diact type="sd"/>
(3:8:12)	33.72375	34.1615	uh	UH	<e/><cc/><diact type="sd"/>
(3:8:14)	34.8545	35.268625	families	NNS	<f/><cc/><diact type="sd"/>
(3:8:15)	35.268625	35.378625	of	IN	<f/><cc/><diact type="sd"/>
(3:8:16)	35.378625	35.658625	rather	RB	<f/><cc/><diact type="sd"/>
(3:8:17)	35.658625	36.128625	modest	JJ	<f/><cc/><diact type="sd"/>
(3:8:18)	36.128625	36.838625	means	NN	<f/><ct/><diact type="sd"/>
(3:9:1)	36.988625	37.624	and	CC	<f/><tc/><diact type="sd"/>
(3:9:4)	37.624	38.368625	uh	UH	<e/><cc/><diact type="sd"/>
(3:9:6)	39.158	39.6205	our	PRP$	<f/><cc/><diact type="sd"/>
(3:9:7)	39.6205	39.9905	family	NN	<f/><cc/><diact type="sd"/>
(3:9:8)	39.9905	40.3105	income	NN	<f/><cc/><diact type="sd"/>
(3:9:9)	40.3105	40.3805	at	IN	<f/><cc/><diact type="sd"/>
(3:9:10)	40.3805	40.5505	this	DT	<f/><cc/><diact type="sd"/>
(3:9:11)	40.5505	40.9405	point	NN	<f/><cc/><diact type="sd"/>
(3:9:12)	40.9405	41.552125	is	VBZ	<f/><cc/><diact type="sd"/>
(3:9:13)	42.297875	42.87575	comfortable	JJ	<f/><cc/><diact type="sd"/>
(3:9:14)	43.033875	43.2805	upper	JJ	<f/><cc/><diact type="sd"/>
(3:9:15)	43.2805	43.4905	middle	NN	<f/><cc/><diact type="sd"/>
(3:9:16)	43.4905	43.8205	class	NN	<f/><cc/><diact type="sd"/>
(3:9:17)	43.8205	43.9105	i	PRP	<f/><cc/><diact type="sd"/>
(3:9:18)	43.9105	44.1205	guess	VBP	<f/><cc/><diact type="sd"/>
(3:9:19)	44.1205	44.1805	you	PRP	<f/><cc/><diact type="sd"/>
(3:9:20)	44.1805	44.3805	might	MD	<f/><cc/><diact type="sd"/>
(3:9:21)	44.3805	44.866	say	VB	<f/><ct/><diact type="sd"/>
(3:10:1)	44.9865	45.550375	and	CC	<f/><tc/><diact type="sd"/>
(3:10:4)	45.550375	46.361625	uh	UH	<e/><cc/><diact type="sd"/>
(3:10:6)	46.361625	46.595125	were	PRPVBP	<f/><cc/><diact type="sd"/>
(3:10:7)	46.595125	46.9205	both	DT	<f/><cc/><diact type="sd"/>
(3:10:8)	46.9205	47.6205	so	RB	<f/><cc/><diact type="sd"/>
(3:10:10)	48.504	49.27	uh	UH	<e/><cc/><diact type="sd"/>
(3:10:12)	49.27	49.914	frugal	JJ	<f/><cc/><diact type="sd"/>
(3:10:13)	50.99775	51.599625	that	IN	<f/><cc/><diact type="sd"/>
(3:10:15)	51.599625	52.720375	uh	UH	<e/><cc/><diact type="sd"/>
(3:10:17)	53.533625	53.71775	we	PRP	<f/><cc/><diact type="sd"/>
(3:10:18)	53.71775	53.93775	really	RB	<f/><cc/><diact type="sd"/>
(3:10:19)	53.93775	54.14775	dont	VBPRB	<f/><cc/><diact type="sd"/>
(3:10:20)	54.14775	54.28775	need	VB	<f/><cc/><diact type="sd"/>
(3:10:21)	54.28775	54.33775	a	DT	<f/><cc/><diact type="sd"/>
(3:10:22)	54.33775	54.67775	budget	NN	<f/><cc/><diact type="sd"/>
(3:10:24)	54.67775	54.77775	you	PRP	<e/><cc/><diact type="sd"/>
(3:10:25)	54.77775	55.01775	know	VBP	<e/><ct/><diact type="sd"/>
(3:11:0)	55.01775	55.10775	we	PRP	<f/><tc/><diact type="sd"/>
(3:11:1)	55.10775	55.32775	just	RB	<f/><cc/><diact type="sd"/>
(3:11:2)	55.32775	55.46775	sort	RB	<f/><cc/><diact type="sd"/>
(3:11:3)	55.46775	55.58775	of	RB	<f/><cc/><diact type="sd"/>
(3:11:4)	55.67775	56.12775	invest	VBP	<f/><cc/><diact type="sd"/>
