epoch,val_loss,val_f,test_loss,test_f
1,0.425894,0.878394626296,0.416358,0.885555065724
2,0.339048,0.891668796461,0.363818,0.89465985613
3,0.352865,0.887046087358,0.406613,0.881632428723
4,0.278949,0.91354603981,0.371475,0.900936959115
5,0.275984,0.920163419923,0.373595,0.903392883159
6,0.263184,0.923796091162,0.404581,0.902873486594
7,0.240096,0.931194909539,0.393703,0.90715926957
8,0.264672,0.923338183419,0.451682,0.902476415305
9,0.192799,0.941506862515,0.398681,0.908202901518
10,0.175639,0.945200095399,0.423804,0.909252204134
11,0.155183,0.953077301566,0.411972,0.909866590185
12,0.153976,0.952764724341,0.406346,0.914675423731
13,0.140225,0.959299858781,0.422587,0.907905150503
14,0.118923,0.962601281935,0.428324,0.912840352368
15,0.108843,0.964575944552,0.433548,0.912131611697
16,0.131081,0.958458802864,0.46126,0.911898787386
17,0.100059,0.96565079112,0.464147,0.908437742121
18,0.0929312,0.969930602694,0.449182,0.91134631609
19,0.0899064,0.969706809982,0.457162,0.913587350129
20,0.0866602,0.973943651148,0.467594,0.908014365111
21,0.0821571,0.972176453271,0.472411,0.910943557162
