epoch,val_loss,val_f,val_f_rm,test_loss,test_f,test_f_rm
1,0.36485,0.89577093666,0.305033353548,0.34132,0.900956079529,0.268041237113
2,0.307684,0.908801020116,0.471800433839,0.295062,0.913236491151,0.416881443299
3,0.316331,0.914046702539,0.544531844709,0.300304,0.917540157708,0.490842490842
4,0.286528,0.919569231023,0.604484732824,0.271647,0.922391662003,0.568599717115
5,0.288562,0.920333344965,0.62591456219,0.272504,0.923153413562,0.577464788732
6,0.28576,0.924406636215,0.662948918135,0.270649,0.926701590663,0.623730625334
7,0.288103,0.920725747637,0.625296068214,0.275364,0.92263515636,0.58793828892
8,0.287908,0.922002922951,0.661883408072,0.273199,0.925063186668,0.63833157339
9,0.306602,0.923009200067,0.642112578179,0.279312,0.928002234736,0.615678776291
10,0.291707,0.92574659176,0.678143386359,0.275101,0.928636765028,0.652812975165
11,0.300682,0.925368496945,0.67612502771,0.277465,0.929200177985,0.638954248366
12,0.306552,0.924884718648,0.673236968901,0.289036,0.928722787302,0.647422680412
13,0.302598,0.926548476992,0.687009959737,0.284185,0.931457176114,0.679104477612
14,0.314349,0.92205367346,0.662938939834,0.295927,0.926458942467,0.641430073607
15,0.332791,0.92281674993,0.677755599911,0.308111,0.926481548393,0.659085034893
16,0.325056,0.922723997153,0.670705322371,0.305372,0.928270451806,0.660420359585
17,0.328663,0.925441320746,0.661694915254,0.301962,0.929059349341,0.643743536711
18,0.343146,0.926830365053,0.695346795435,0.312585,0.928796410273,0.661186745441
19,0.327383,0.925921097038,0.689248895434,0.301204,0.930629370892,0.680630852637
20,0.341285,0.92633863899,0.685181167281,0.309264,0.931872773047,0.679083815756
21,0.325941,0.926648124388,0.696905468419,0.312868,0.92899159248,0.66980664353
22,0.340607,0.928617115868,0.689975658331,0.314375,0.929821555858,0.651578947368
23,0.338921,0.927500061604,0.689367311072,0.319306,0.929413477959,0.661348430262
24,0.338801,0.926041080708,0.680112773802,0.313489,0.93086131477,0.67288776797
25,0.33631,0.925640950581,0.682435392028,0.312923,0.928964265254,0.66649694501
26,0.339185,0.925240694789,0.68231278003,0.308052,0.929630790684,0.67702330243
27,0.33986,0.926003298119,0.685102586976,0.318868,0.927924752391,0.656070870245
28,0.339446,0.925407474778,0.682593856655,0.30947,0.928622732679,0.654509118161
29,0.352565,0.926268459238,0.683013820776,0.322411,0.929911000879,0.652106084243
30,0.353741,0.924797358933,0.67061663375,0.331971,0.92865794302,0.664618535586
31,0.34118,0.925999935066,0.683995703545,0.313548,0.929880233759,0.666000998502
32,0.360235,0.926853449212,0.679455721615,0.335297,0.928597878262,0.65236725085
33,0.355775,0.927625876598,0.700729927007,0.325174,0.931180672555,0.676330917271
34,0.375371,0.924849610801,0.676543209877,0.345091,0.928591270135,0.644993498049
35,0.359179,0.926618435646,0.690712742981,0.335907,0.928536750489,0.672654690619
36,0.360342,0.925511595472,0.68897149938,0.3383,0.928296321442,0.663942307692
37,0.389239,0.923684041054,0.672570390554,0.356304,0.926301100861,0.654871930288
38,0.362593,0.925719731758,0.694125298071,0.33392,0.929107171791,0.657548125633
39,0.356728,0.924873074861,0.677195198989,0.336944,0.928805555551,0.655842558426
40,0.354558,0.926779363394,0.693783896537,0.335002,0.929642328038,0.675544794189
41,0.372057,0.923491992457,0.684480986639,0.347215,0.926372404923,0.667455621302
42,0.370245,0.925278860876,0.684177348182,0.346968,0.928793217271,0.68665377176
43,0.371527,0.925927507181,0.691216931217,0.341304,0.929777330575,0.670146656724
