0,PRP$
1,DTPOS
2,NN^NNS
3,WPHVS
4,WDT
5,JJ
6,WP
7,^NNPS
8,PRPVB
9,^IN^IN
10,DTUH
11,RP
12,WDTBES
13,DTCC
14,^VBG
15,^NNS^POS
16,FW
17,VBPBES
18,BESINBES
19,^NN
20,NNPHVS
21,PRP
22,RB
23,MDRB
24,^VBP^RP
25,NNS
26,^NNBES
27,NNP
28,GW
29,WRB
30,DTNNP
31,CCIN
32,-NONE-
33,WRBBES
34,WPMD
35,EXMD
36,^WRB
37,VBBES
38,SYM
39,VBPHVS
40,WDTWDTDTBES
41,^IN
42,^IN^NN
43,NNHVS
44,^JJS
45,WPVBP
46,^GW
47,PRPPRPMD
48,RBPOS
49,DTMD
50,^RB
51,WDTMD
52,DT-DFL-
53,EXVBP
54,UHPOS
55,RBHVS
56,JJBES
57,PRPPRP$
58,WPVBZ
59,PRP^VBP
60,VBPVBPRB
61,^DT^NN
62,WPBES
63,NNPNNPS
64,NNMD
65,WRBMD
66,NNSPOS
67,^PRP^VBP
68,^EXVBP
69,^VB^RP
70,EX
71,INHVS
72,VBDRB
73,^VB
74,VBPRB
75,WRBVBD
76,EXBES
77,NNPOS
78,VBPRP
79,NNPSPOS
80,UH
81,TO|IN
82,NNBES
83,^PRP$
84,PRPPRPVBP
85,VBPPRP
86,^VBP^RB
87,VBG
88,VBD
89,^RP
90,VBN
91,DTDTNN
92,VBP
93,INMD
94,PRPRB
95,VBZ
96,^PDT
97,DTDTWDT
98,NN
99,MDVBP
100,VBN|VBD
101,CDNNS
102,DTIN
103,^JJ
104,PRPBES
105,NNPPOS
106,VBP|VBD
107,^NNS
108,^NNP
109,^CC
110,NNPNNP
111,MD
112,CC
113,^CD
114,PDT
115,PRPMD
116,^DT
117,CD
118,XX
119,PRPDT
120,DTHVS
121,DTDTVB
122,WP$
123,PRP$POS
124,PRPPOS
125,NNPBES
126,DTDTDTWP
127,^UH
128,NNPRP
129,JJS
130,JJR
131,^NN^NNS
132,JJ|RB
133,INBES
134,EXHVS
135,DTBES
136,^NNP^NNP
137,VBGTO
138,RBBES
139,PRPVBP
140,DTNNS
141,PRPVBN
142,VBZRB
143,BES
144,PRPVBD
145,DT
146,VBRB
147,BESDTDTBESDT
148,^VBP
149,CDBES
150,^VBZ
151,POS
152,NNNNS
153,TO
154,^VBD
155,LS
156,JJPOS
157,^VBN
158,^WP
159,RBNN
160,NNPNNS
161,^CD^NNS
162,VB
163,DTDT
164,WDTHVS
165,DTWP
166,RBS
167,RBR
168,^CD^NN
169,CCCC
170,IN
171,NNPS
172,^TO
173,PRPHVS
174,^PRP
175,MDPRPMD
176,NNS^POS
177,<unk>
