epoch,val_loss,val_f,val_f_rm,test_loss,test_f,test_f_rm,train_loss
0,0.283718,0.920720753052,0.341620356829,0.280184,0.921570698093,0.322558693433,0.250806690697
1,0.261615,0.925365934106,0.427589997252,0.260089,0.92442403981,0.366512854318,0.226744832084
2,0.314412,0.910835522724,0.290687022901,0.317106,0.911421246235,0.260651629073,0.220363375427
3,0.276386,0.91660547392,0.409369771333,0.274609,0.916698787449,0.37102589315,0.217503383526
4,0.271874,0.920778472724,0.456194919647,0.273854,0.920993660114,0.415455950541,0.216054121794
5,0.279435,0.914715150747,0.395532552438,0.277799,0.915155684008,0.361368724017,0.214980938631
6,0.273052,0.916111910392,0.275268817204,0.269231,0.917341403486,0.248571428571,0.213808466257
7,0.289709,0.902719849096,0.273754964864,0.28785,0.905867800914,0.286916871273,0.213030795778
8,0.367545,0.894003629042,0.239192174187,0.370432,0.895054794422,0.201997780244,0.212354449389
9,0.268519,0.922721163857,0.43654555029,0.271371,0.921928531884,0.390591148251,0.211892736001
10,0.307044,0.924636018685,0.52417532761,0.305162,0.923458968211,0.477792378449,0.211373136536
11,0.278617,0.918957164723,0.395721925134,0.279813,0.916716049896,0.365669187767,0.210937221265
12,0.269812,0.922301506964,0.410996945293,0.271083,0.922107178957,0.365499008592,0.210729452462
13,0.279934,0.921264813184,0.354039078449,0.279165,0.92155798496,0.32718579235,0.210951069016
14,0.284683,0.925446952325,0.490904560179,0.284915,0.924406147922,0.441681468324,0.210349008493
15,0.271266,0.916628989482,0.348311306902,0.266008,0.918301411332,0.315096952909,0.209891470702
16,0.275333,0.916788697578,0.345780652749,0.275323,0.917081623344,0.308543756486,0.210005293922
17,0.289763,0.920524966114,0.389913232104,0.285697,0.921411397911,0.35873015873,0.21010516162
18,0.266698,0.919564824104,0.369033760186,0.268879,0.917628276685,0.324751115688,0.210294352197
19,0.289654,0.907263877097,0.370104798676,0.285563,0.906232005042,0.332582824059,0.210019516194
20,0.2942,0.906308642452,0.321141837645,0.288311,0.909129178576,0.282601054482,0.210187957123
21,0.289043,0.918041918978,0.31964549483,0.284712,0.919783212966,0.293020041465,0.210033887052
22,0.266161,0.922951470619,0.423321359492,0.270491,0.920904452455,0.375654450262,0.209676859028
23,0.309258,0.916342275682,0.523376911146,0.307563,0.916276692001,0.480333420162,0.209958301015
24,0.308841,0.905688220713,0.421081081081,0.311434,0.906038193843,0.396064741352,0.209022258724
25,0.301437,0.90323929637,0.365166908563,0.303407,0.902763237616,0.326936257711,0.209497053209
26,0.274411,0.913028408773,0.341865254487,0.275146,0.913195240731,0.301559792028,0.209232112552
27,0.276249,0.920649453776,0.385286103542,0.271481,0.921661408446,0.370922646785,0.209148311005
28,0.310031,0.911363515195,0.220376876397,0.305399,0.913110839644,0.19434102755,0.209973619694
29,0.269585,0.917400921974,0.31268791341,0.266128,0.918911090686,0.289630931459,0.209093867295
30,0.278666,0.915186427806,0.372132540357,0.279163,0.916119036726,0.331085637222,0.209230765242
31,0.273282,0.918319202173,0.347548592979,0.270088,0.92014421613,0.321987746767,0.209535422526
32,0.26567,0.922367544919,0.363267670915,0.263967,0.922413198592,0.340324763194,0.209647535834
33,0.285826,0.917868251828,0.311860325105,0.28692,0.919097025283,0.287219101124,0.209632098919
34,0.276358,0.91660578283,0.331557134399,0.271609,0.918125045868,0.309449636552,0.209500627741
35,0.281565,0.91169343464,0.371281464531,0.283996,0.912101520684,0.337592468056,0.209005467264
36,0.27866,0.917467591322,0.31037593985,0.27788,0.917278024484,0.26,0.209451485957
37,0.285898,0.9224882694,0.416439847578,0.288859,0.920463297159,0.384884090187,0.209527693311
38,0.28782,0.921895610094,0.520314547837,0.290334,0.920335446455,0.470678617157,0.209523316073
39,0.27497,0.915896802551,0.390271176964,0.276568,0.915212095558,0.342780926976,0.209229719201
40,0.297012,0.909015973377,0.16121572514,0.295123,0.910230904991,0.131274131274,0.209251737035
41,0.286967,0.911270394892,0.374746597162,0.285519,0.911510833388,0.312154696133,0.209191529304
42,0.267109,0.920436235187,0.358959537572,0.267557,0.921262440358,0.339648173207,0.209073541248
